"","CUSTOMER_SK","TOTAL_No_Of_PURCHASE","TOTAL_REVENUE","RECENCY","TOTAL_No_of_VISITS","DISTINCT_PRODUCTS","AVERAGE_SPEND","CITY_NM","pkm$cluster"
"304",20802419,568,2068.28981,243,48,193,43.08937104,"HALIFAX",4
"305",59618368,504,2067.96962,119,23,236,89.91172261,"HALIFAX",5
"306",59504650,734,2067.51956,114,40,257,51.687989,"HALIFAX",6
"307",60984659,537,2067.16968,110,38,376,54.39920211,"HALIFAX",6
"308",58358135,492,2067.02949,109,52,247,39.75056712,"HALIFAX",6
"309",22203725,494,2066.55952,242,67,258,30.84417194,"HALIFAX",4
"310",22288611,607,2066.22952,242,79,187,26.15480405,"HALIFAX",4
"311",23182448,567,2066.12975,244,33,245,62.60999242,"HALIFAX",4
"312",22114222,621,2064.06968,242,27,344,76.44702519,"HALIFAX",4
"313",40173100,557,2063.21979,244,21,307,98.24856143,"HALIFAX",3
"314",60524342,611,2061.92975,110,63,169,32.72904365,"HALIFAX",6
"315",22113293,746,2061.81968,244,111,248,18.57495207,"HATCHET LA",4
"316",59830917,505,2060.93951,109,49,198,42.05999,"HALIFAX",1
"317",22288083,651,2060.42972,243,65,289,31.69891877,"HALIFAX",4
"318",22208951,749,2059.65955,243,38,292,54.20156711,"HALIFAX",4
"319",59027377,562,2057.60969,111,36,339,57.15582472,"HALIFAX",6
"320",20968252,613,2056.60982,242,22,337,93.48226455,"HALIFAX",2
"321",29926497,660,2054.97978,248,34,387,60.44058176,"HALIFAX",2
"322",22843658,526,2053.63974,251,79,241,25.99543975,"HALIFAX",4
"323",59427889,736,2051.18996,109,91,309,22.54054901,"HALIFAX",6
"324",36352584,751,2048.58988,242,108,377,18.96842481,"HALIFAX",6
"325",51032169,527,2041.00958,244,30,185,68.03365267,"HALIFAX",3
"326",22208959,633,2040.50955,247,18,260,113.3616417,"HALIFAX",3
"327",38981467,590,2035.17969,242,58,254,35.089305,"HALIFAX",4
"328",28665663,642,2034.06963,243,39,278,52.15563154,"HALIFAX",4
"329",58645614,667,2033.75965,109,97,276,20.96659433,"HALIFAX",6
"330",59427035,751,2031.68961,109,115,242,17.66686617,"HATCHET LA",6
"331",22288093,566,2031.5495,246,27,129,75.24257407,"HALIFAX",3
"332",59579353,606,2030.15982,109,54,229,37.59555222,"HALIFAX",6
"333",23791664,579,2029.88962,245,31,186,65.48031032,"HALIFAX",4
"334",59427924,841,2028.75982,109,187,329,10.84898299,"HALIFAX",6
"335",58425257,527,2028.07953,112,41,254,49.46535439,"HALIFAX",1
"336",22114378,710,2025.28988,242,86,293,23.54988233,"HALIFAX",4
"337",59567717,475,2022.2295,112,26,237,77.77805769,"HALIFAX",5
"338",58337779,515,2021.66968,113,9,290,224.6299644,"HALIFAX",5
"339",62615702,805,2019.07949,109,48,257,42.06415604,"HALIFAX",6
"340",39450222,488,2018.90964,250,56,255,36.05195786,"DARTMOUTH",4
"341",20784444,573,2012.9297,244,14,253,143.7806929,"HALIFAX",3
"342",59086636,606,2012.08988,111,92,267,21.87054217,"HALIFAX",6
"343",22131525,782,2010.17992,242,101,290,19.90277149,"HALIFAX",4
"344",39622051,516,2010.05965,111,34,220,59.11940147,"HALIFAX",5
"345",60547813,515,2007.20969,114,34,264,59.03557912,"HALIFAX",5
"346",22318684,547,2004.51962,242,90,309,22.27244022,"HALIFAX",4
"347",36785532,617,2003.26982,118,93,451,21.5405357,"HALIFAX",6
"348",20799844,688,2002.63991,243,29,232,69.05654862,"HALIFAX",4
"349",37057354,489,2000.39984,242,40,211,50.009996,"HALIFAX",4
"350",60613178,530,1999.46948,110,50,128,39.9893896,"HALIFAX",1
"351",59651716,630,1996.03989,109,59,296,33.83118458,"HALIFAX",6
"352",20789485,507,1992.07928,260,20,198,99.603964,"HALIFAX",3
"353",59504655,566,1989.7696,113,19,250,104.7247158,"HALIFAX",5
"354",58872306,520,1989.34952,110,46,251,43.2467287,"HALIFAX",1
"355",65310916,579,1985.7497,111,125,213,15.8859976,"HALIFAX",6
"356",62374273,504,1984.58964,143,67,258,29.6207409,"OAKVILLE",6
"357",22207323,588,1974.25987,243,43,225,45.91302023,"HALIFAX",4
"358",52634309,585,1969.35983,249,26,383,75.74460885,"HALIFAX",2
"359",58833348,572,1967.87977,111,52,149,37.84384173,"HALIFAX",1
"360",21441097,646,1967.23976,246,51,251,38.57332863,"CHESTER",4
"361",58502082,662,1963.28978,109,91,256,21.57461297,"HALIFAX",6
