"","ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE","PRODUCT_NAME","PRODUCT_CAT","pkm$cluster"
"1678",12847369,1538.00995,734,302,1.503841066,"Fruit And D","Grocery",2
"1679",12787781,1536.93931,178,109,8.626775819,"Oil","Grocery",4
"1680",11659750,1536.54999,454,202,3.071732886,"Bread Produ","Commercial B",2
"1681",15539171,1536.22998,483,275,3.005990329,"Bread Produ","Commercial B",2
"1682",11841159,1536.1,638,372,2.260643642,"Salted Snac","Grocery",2
"1683",11741130,1536.09989,266,165,5.868773525,"Other Fruit","Produce",1
"1684",14376834,1535.17,463,220,3.223947939,"Tomatoes","Produce",2
"1685",15258980,1534.63993,251,175,5.898645279,"Paper","Grocery",1
"1686",11744090,1532.34999,363,162,4.028925613,"Pastry Coun","Pastry",1
"1687",15202735,1531.95999,478,187,3.144466517,"Cooking Veg","Produce",2
"1688",14935373,1531.75,416,179,3.648293269,"Pastries","Instore Bake",2
"1689",12875620,1530.95996,357,204,4.227712367,"Deli Cheese","Deli",1
"1690",14273893,1530.90995,295,150,5.005118568,"Processed","Meat",1
"1691",11731740,1530.82997,363,113,3.862470131,"Organic And","Dairy",1
"1692",15067901,1530.36987,303,131,4.426347502,"Yogurt","Dairy",1
"1693",11697424,1529.99847,153,88,9.820251618,"Boxed Seafo","Seafood",4
"1694",11658161,1529.86,440,220,3.224954545,"Chips","Grocery",2
"1695",15165012,1528.71945,183,107,8.219805847,"Paper","Grocery",4
"1696",11746241,1527.91994,601,311,2.347176669,"Milk Produc","Dairy",2
"1697",14280757,1527.37996,382,165,3.216980772,"NPF","Grocery",2
"1698",13902633,1523.83992,271,163,5.365448862,"Paper","Grocery",1
"1699",11675081,1522.84995,427,212,3.0958938,"Yogurt","Dairy",2
"1700",14267300,1522.42997,162,81,9.279434074,"Processed","Meat",4
"1701",14935377,1519.74,431,183,3.48974359,"Pastries","Instore Bake",2
"1702",12741363,1519.62976,259,97,3.720380322,"Frozen Orga","Frozen Groce",1
"1703",14363228,1518.6398,369,139,3.250546378,"Deli Cheese","Deli",2
"1704",12787582,1518.11965,213,114,6.223567336,"Fin Fish Fr","Seafood",1
"1705",11753856,1517.04996,457,133,2.069582215,"Soft Drinks","Grocery",2
"1706",14345015,1516.66966,245,98,5.406080992,"Organic &Na","Grocery",1
"1707",13870744,1515.62865,161,92,9.227507329,"Beef","Meat",4
"1708",14570358,1515.58996,248,166,5.944142976,"Dairy Chees","Dairy",1
"1709",11837700,1515.14,782,346,1.927612323,"Butter And ","Dairy",2
"1710",15600788,1514.98937,183,72,7.710324962,"Chicken","Meat",4
"1711",12936586,1514.31997,350,170,3.963750321,"Cookies","Grocery",1
"1712",11666096,1514.22957,170,101,8.5018704,"Oil","Grocery",4
"1713",12184448,1513.48986,229,108,6.270698417,"Pet","Grocery",1
"1714",12932788,1513.44852,166,94,8.9665575,"Beef","Meat",4
"1715",14861197,1513.42967,237,93,5.626412806,"Organic And","Dairy",1
"1716",11741923,1512.12998,417,235,3.344428327,"Cooking Veg","Produce",2
"1717",14963146,1511.19998,343,161,4.117845988,"Pickles-Ant","Deli",1
"1718",14856709,1510.84996,262,160,5.617232886,"Dairy Chees","Dairy",1
"1719",14565143,1510.57998,394,172,3.604856161,"Organic And","Dairy",2
"1720",12859953,1509.77996,255,129,5.80309798,"Yogurt","Dairy",1
